seedPlayerId,seedName,seedKey,sourceClub,sourcePosition,birthDate,localBestMatch,localBestTmPlayerId,localBestClub,localBestSimilarity,clubMatch,positionMatch,DOBMatch,runnerUp,runnerUpTmPlayerId,status
"cmtr671hh00dz33yn6y62n73l","Ibrokhim Ibragimov","UZ1-2026-PAKHTAKO-013","Pakhtakor Tashkent","MF","","Ibrokhim Ibrokhimov","630010","Pakhtakor Tashkent","0.875","true","true","false","Ibrokhim Ganikhonov","492555","LOCAL_DUPLICATE"
"cmtr671ka00lj33yns1bfup4l","Idris Bikmaykin","UZ1-2026-LOKOMOTI-044","Lokomotiv Tashkent","FW","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671f400ab33yndq4wh7hx","Ignatiy Nesterov","UZ1-2026-NAVBAHOR-001","Navbahor Namangan","GK","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671cp004r33yn8hxfvcdb","Igor Taran","UZ1-2026-BUNYODKO-032","Bunyodkor Tashkent","FW","","Igor Golban","128936","Sogdiana Jizzakh","0.600","false","false","false","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671ih00gp33ynesrreew2","Ikboldzhon Malikdzhonov","UZ1-2026-KOKAND19-020","Kokand 1912","MF","","Ikboljon Malikjonov","501829","FC Kokand 1912","0.727","true","false","false","","","AMBIGUOUS"
"cmtr671gn00cj33yng90nx7a7","Ikrom Alibaev","UZ1-2026-NEFTCHIF-016","Neftchi Fergana","MF","","Ikromzhon Alibaev","311898","Neftchi Fergana","0.750","true","true","false","","","LOCAL_DUPLICATE"
"cmtr671a5000f33ynapo8rk2y","Iskandar Businov","UZ1-2026-AGMK-008","AGMK","DF","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671e0007l33yn6kinyybw","Iskandar Shoikulov","UZ1-2026-MASHALMU-017","Mashal Muborak","MF","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671i900g133ynpwui8lv2","Islam Abdullaev","UZ1-2026-KOKAND19-004","Kokand 1912","GK","","Dilshod Abdullaev","1079574","Pakhtakor Tashkent","0.688","false","false","false","Abdulla Abdullaev","570272","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671dt007333yn6o7e89gb","Islom Sharipov","UZ1-2026-MASHALMU-008","Mashal Muborak","MF","","Islom Anvarov","1146592","Bunyodkor Tashkent","0.615","false","false","false","Islombek Baratov","756951","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671ie00gf33yn1wxuecaz","Ivan Josovic","UZ1-2026-KOKAND19-013","Kokand 1912","DF","","Ivan Pesic","115133","FC OKMK Olmaliq","0.636","false","false","false","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671eu009p33ynelhhvq5d","Ivan Solovyov","UZ1-2026-NASAFQAR-033","Nasaf Qarshi","MF","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671ke00lz33yn5us3u1l5","Izzatov","UZ1-2026-XORAZMUR-002","Xorazm Urganch","MF","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671jn00jn33yn1h60rrej","Jahongir Hoshimboyev","UZ1-2026-LOKOMOTI-009","Lokomotiv Tashkent","GK","","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671a5000h33ynoxm2mwb6","Jakhongir Fazilov","UZ1-2026-AGMK-009","AGMK","DF","","Bakhodir Nasimov","143820","Dinamo Samarqand","0.600","false","false","false","Jakhongir Abdusalomov","614028","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671cw005933ynjm2jzf0c","Jakhongir Urozov","UZ1-2026-DINAMOSA-004","Dinamo Samarkand","CB","2004-01-18","","","","","","","","","","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671hx00f533yn3ct2jhhw","Jambul Jigauri","UZ1-2026-QIZILQUM-006","Qizilqum Zarafshon","MF","","Jaba Jigauri","188184","FC Qizilqum","0.769","true","false","false","","","AMBIGUOUS"
"cmtr671c8003p33ynbuek7b7b","Javlon Mirabdullaev","UZ1-2026-BUNYODKO-012","Bunyodkor Tashkent","DF","","Dilshod Abdullaev","1079574","Pakhtakor Tashkent","0.556","false","true","false","Ulugbek Abdullaev","658822","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
"cmtr671cq004v33yn6claxw07","Javokhir Esonkulov","UZ1-2026-BUNYODKO-034","Bunyodkor Tashkent","FW","","Javokhir Sidikov","288957","FC Kokand 1912","0.625","false","false","false","Javokhir Khusanov","918837","NEEDS_EXTERNAL_IDENTITY_LOOKUP"
