playerId,currentName,tmPlayerId,tmUrl,careerStatus,confirmedFreeAgent,currentClub,currentClubTmId,currentCompetition,currentCompetitionTmId,mainPosition,positionGroup,birthDate,age,nationalities,marketValueEur,contractExpires,portraitPresent,preferredFoot,representationStatus,seedKey,sourceName,sourceClub,sourcePosition,sourceSeason,sourceUrl
"cmtr671cy005f33ynha4c0bfo","Mihailo Jovanovic","seed:UZ1-2026-DINAMOSA-007","seed://uz1/UZ1-2026-DINAMOSA-007","UNKNOWN","false","","","","","UNKNOWN","DF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-DINAMOSA-007","Mihailo Jovanovic","Dinamo Samarkand","DF","2026",""
"cmtr671cn004l33ynp76xme9o","Miraziz Jalolov","seed:UZ1-2026-BUNYODKO-029","seed://uz1/UZ1-2026-BUNYODKO-029","UNKNOWN","false","","","","","UNKNOWN","FW","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-BUNYODKO-029","Miraziz Jalolov","Bunyodkor Tashkent","FW","2026",""
"cmtr671gh00cf33yng70ue6xm","Mirjalol Abdurahimov","seed:UZ1-2026-NEFTCHIF-009","seed://uz1/UZ1-2026-NEFTCHIF-009","UNKNOWN","false","","","","","UNKNOWN","DF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-NEFTCHIF-009","Mirjalol Abdurahimov","Neftchi Fergana","DF","2026",""
"cmtr671b0001t33ynf7wkhukg","Mirzakamol Kamalov","seed:UZ1-2026-ANDIJON-006","seed://uz1/UZ1-2026-ANDIJON-006","UNKNOWN","false","","","","","UNKNOWN","MF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-ANDIJON-006","Mirzakamol Kamalov","Andijon","MF","2026",""
"cmtr671cf004733ynaz18csaf","Mirzokhid Gofurov","seed:UZ1-2026-BUNYODKO-021","seed://uz1/UZ1-2026-BUNYODKO-021","UNKNOWN","false","","","","","UNKNOWN","MF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-BUNYODKO-021","Mirzokhid Gofurov","Bunyodkor Tashkent","MF","2026",""
"cmtr671e6008133yn22191eet","Muiddin Mamazulunov","seed:UZ1-2026-MASHALMU-026","seed://uz1/UZ1-2026-MASHALMU-026","UNKNOWN","false","","","","","UNKNOWN","FW","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-MASHALMU-026","Muiddin Mamazulunov","Mashal Muborak","FW","2026",""
"cmtr671kl00mb33yny139prou","Mukhammadzhon Razhabboev","seed:UZ1-2026-XORAZMUR-008","seed://uz1/UZ1-2026-XORAZMUR-008","UNKNOWN","false","","","","","UNKNOWN","FW","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-XORAZMUR-008","Mukhammadzhon Razhabboev","Xorazm Urganch","FW","2026",""
"cmtr671e5007z33yn6sxd3yhk","Mukhriddin Shamsiddinov","seed:UZ1-2026-MASHALMU-025","seed://uz1/UZ1-2026-MASHALMU-025","UNKNOWN","false","","","","","UNKNOWN","FW","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-MASHALMU-025","Mukhriddin Shamsiddinov","Mashal Muborak","FW","2026",""
"cmtr671kd00lv33ynda3zbdld","Mukhriddin Zoirov","seed:UZ1-2026-LOKOMOTI-050","seed://uz1/UZ1-2026-LOKOMOTI-050","UNKNOWN","false","","","","","UNKNOWN","FW","","","[]","200000","2026-12-31","false","UNKNOWN","UNKNOWN","UZ1-2026-LOKOMOTI-050","Mukhriddin Zoirov","Lokomotiv Tashkent","FW","2026",""
"cmtr671ad000t33ynvy9g2068","Murat Ermatov","seed:UZ1-2026-AGMK-015","seed://uz1/UZ1-2026-AGMK-015","UNKNOWN","false","","","","","UNKNOWN","MF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-AGMK-015","Murat Ermatov","AGMK","MF","2026",""
"cmtr671by003333yn6dhb4a3b","Murotjon Zukhurov","seed:UZ1-2026-BUNYODKO-001","seed://uz1/UZ1-2026-BUNYODKO-001","UNKNOWN","false","","","","","Goalkeeper","GK","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-BUNYODKO-001","Murotjon Zukhurov","Bunyodkor Tashkent","GK","2026",""
"cmtr671ia00g333yn0hr8qams","Muzaffar Abdullayev","seed:UZ1-2026-KOKAND19-005","seed://uz1/UZ1-2026-KOKAND19-005","UNKNOWN","false","","","","","Goalkeeper","GK","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-KOKAND19-005","Muzaffar Abdullayev","Kokand 1912","GK","2026",""
"cmtr671fo00bb33yn1ftb45mm","Muzaffar Muminov","seed:UZ1-2026-NAVBAHOR-021","seed://uz1/UZ1-2026-NAVBAHOR-021","UNKNOWN","false","","","","","UNKNOWN","MF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-NAVBAHOR-021","Muzaffar Muminov","Navbahor Namangan","MF","2026",""
"cmtr671fz00bx33ynzvhajnyn","Navrozbek Iminjonov","seed:UZ1-2026-NAVBAHOR-032","seed://uz1/UZ1-2026-NAVBAHOR-032","UNKNOWN","false","","","","","UNKNOWN","FW","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-NAVBAHOR-032","Navrozbek Iminjonov","Navbahor Namangan","FW","2026",""
"cmtr671cx005d33yndnqmfhlh","Nodir Sanokulov","seed:UZ1-2026-DINAMOSA-006","seed://uz1/UZ1-2026-DINAMOSA-006","UNKNOWN","false","","","","","UNKNOWN","DF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-DINAMOSA-006","Nodir Sanokulov","Dinamo Samarkand","DF","2026",""
"cmtr671cr004x33yn92kz3vkd","Nordin Kamolov","seed:UZ1-2026-BUNYODKO-035","seed://uz1/UZ1-2026-BUNYODKO-035","UNKNOWN","false","","","","","UNKNOWN","FW","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-BUNYODKO-035","Nordin Kamolov","Bunyodkor Tashkent","FW","2026",""
"cmtr671cg004933ynsvtfqh3c","Nuridin Xasanov","seed:UZ1-2026-BUNYODKO-022","seed://uz1/UZ1-2026-BUNYODKO-022","UNKNOWN","false","","","","","UNKNOWN","MF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-BUNYODKO-022","Nuridin Xasanov","Bunyodkor Tashkent","MF","2026",""
"cmtr671fq00bf33yn539hwauc","Nurmuhammad Toshpulatov","seed:UZ1-2026-NAVBAHOR-023","seed://uz1/UZ1-2026-NAVBAHOR-023","UNKNOWN","false","","","","","UNKNOWN","MF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-NAVBAHOR-023","Nurmuhammad Toshpulatov","Navbahor Namangan","MF","2026",""
"cmtr671c7003n33ynitct6qvr","Obid Djurabayev","seed:UZ1-2026-BUNYODKO-011","seed://uz1/UZ1-2026-BUNYODKO-011","UNKNOWN","false","","","","","UNKNOWN","DF","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-BUNYODKO-011","Obid Djurabayev","Bunyodkor Tashkent","DF","2026",""
"cmtr671i200fj33ynx3evrwno","Olim Navkarov","seed:UZ1-2026-QIZILQUM-013","seed://uz1/UZ1-2026-QIZILQUM-013","UNKNOWN","false","","","","","UNKNOWN","FW","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-QIZILQUM-013","Olim Navkarov","Qizilqum Zarafshon","FW","2026",""
"cmtr671hp00eh33yn3c7jknn5","Saidumarkhon Saidnurullayev","seed:UZ1-2026-PAKHTAKO-024","seed://uz1/UZ1-2026-PAKHTAKO-024","UNKNOWN","false","","","","","UNKNOWN","FW","","","[]","","","false","UNKNOWN","UNKNOWN","UZ1-2026-PAKHTAKO-024","Saidumarkhon Saidnurullayev","Pakhtakor Tashkent","FW","2026",""
